649fac567aeaf6dd747fdb20,baseline,inputtype04,灌溉水,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb20,baseline,inputtype09,有機基肥料,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb20,baseline,inputtype11,雜草防治劑,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb20,baseline,inputtype13,曳引機及耕耘機,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb21,baseline,inputtype04,灌溉水,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb21,baseline,inputtype09,有機肥及化肥,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb21,baseline,inputtype11,雜草防治劑,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb21,baseline,inputtype13,插秧機,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb22,baseline,inputtype04,灌溉水,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb22,baseline,inputtype09,化學肥料,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb22,baseline,inputtype11,病蟲及雜草防治劑,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb22,baseline,inputtype12,農具及作業用具,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb23,baseline,inputtype12,農具及作業用具,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb23,baseline,inputtype13,收穫機,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb23,baseline,inputtype14,稻穀容器,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb24,baseline,inputtype20,運輸車輛,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb25,baseline,inputtype13,烘乾機,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb25,baseline,inputtype14,稻穀容器,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb26,baseline,inputtype04,加工用水,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb26,baseline,inputtype13,輾米機,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb26,baseline,inputtype14,稻米容器,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb27,baseline,inputtype11,防蟲劑,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb27,baseline,inputtype12,作業用具,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb27,baseline,inputtype14,稻米容器,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb28,baseline,inputtype12,包裝用具,647ee4cc0930cffd450648ff,仿真案例,,,
649fac567aeaf6dd747fdb28,baseline,inputtype14,白米包裝袋,647ee4cc0930cffd450648ff,仿真案例,,,
